scientific_name,iucn_status,family,habitat
Bucorvus abyssinicus,Vulnerable (VU),Bucorvidae,Savanna; sub-desert scrub; rocky areas; grasslands; and agricultural areas
Asio abyssinicus,Least Concern (LC),Strigidae,Open grasslands; moorlands; montane forests; mountain valleys; and gorges up to 3900 m
Stephanoaetus coronatus,Near Threatened (NT),Accipitridae,Forests; woodlands; savanna; shrubland; plantations; and urban greenspaces
Haliaeetus vocifer,Least Concern (LC),Accipitridae,Bodies of water: rivers; lakes; floodplains; coasts; estuaries; mangrove lagoons; and swamps
Strix woodfordii,Least Concern (LC),Strigidae,Forest; woodland; plantations; gardens; coastal and riparian forests
Terpsiphone incei,Least Concern (LC),Monarchidae,Broadleaf lowland and hill forests; also more open habitats during migration and winter
Chrysococcyx maculatus,Least Concern (LC),Cuculidae,Subtropical/tropical moist lowland and montane forests
Hieraaetus ayresii,Least Concern (LC),Accipitridae,Thick woodland; forest; riparian forest; and forest patches
Sibirionetta formosa,Least Concern (LC),Anatidae,Breeds in marshy woods and tundra; winters in marshes; estuaries; freshwater lakes; and rivers
Chrysophlegma miniaceum,Least Concern (LC),Picidae,Primary rainforest; secondary forest; plantations; mangroves; parks; wooded suburbs; and gardens
Tyto alba,Least Concern (LC),Tytonidae,Open habitats: grasslands; deserts; marshes; agricultural fields; and farmlands
Gypaetus barbatus,Near Threatened (NT),Accipitridae,High mountainous regions; cliffs; precipices; gorges; and open areas like grasslands and meadows
Heterophasia pulchella,Least Concern (LC),Leiothrichidae,Subtropical/tropical moist montane forest; evergreen broadleaf forest; and thickets
Cinnyris pulchellus,Least Concern (LC),Nectariniidae,Savanna; woodland; semi-arid/dry forest; thickets; wooded grassland; riparian areas; and gardens
Oriolus consanguineus,Least Concern (LC),Oriolidae,Subtropical/tropical moist lowland and montane forest; primary forest with mossy growth
Cymbirhynchus macrorhynchos,Least Concern (LC),Eurylaimidae,Lowland forests near water; mangroves; freshwater swamp forests; secondary forests; and plantations
Eurylaimus ochromalus,Near Threatened (NT),Eurylaimidae,Evergreen forest; dipterocarp forest; swamp forest; heath forest; forest edge; secondary forest; and plantations
Ceyx erithaca,Near Threatened (NT),Alcedinidae,Lowland forests near streams/ponds; gardens; parks; wooded areas; and mangroves
Aviceda leuphotes,Least Concern (LC),Accipitridae,Forests; woodland; cultivated areas; and open country
Nycticorax nycticorax,Least Concern (LC),Ardeidae,Wetlands: swamps; shallow lakes; ponds; lagoons; rivers; and streams
Erythropitta ussheri,Near Threatened (NT),Pittidae,Dense primary forest; secondary to heavily logged forest; below 500 m
Anthracoceros malayanus,Vulnerable (VU),Bucerotidae,Lowland mature forests; forest edge; secondary growth; and wooded areas
Milvus migrans,Least Concern (LC),Accipitridae,Open areas near water: grasslands; shrubs; wetlands; urban areas; coastal areas; and forests
Pterorhinus courtoisi,Critically Endangered (CR),Leiothrichidae,Mixed evergreen-deciduous forests; forest patches; and trees near human settlements
Phoenicurus frontalis,Least Concern (LC),Muscicapidae,Brusy open subalpine areas; winters in foothills in scrubby areas; field edges; and gardens
Monticola solitarius,Least Concern (LC),Muscicapidae,Rocky areas: cliffs; gorges; ruins; mountains; coasts; and urban areas
Hydrornis schwaneri,Least Concern (LC),Pittidae,Hill and lowland dipterocarp forests; dry ridges; hilltops; limestone areas; and secondary forest
Pityriasis gymnocephala,Near Threatened (NT),Pityriasidae,Primary dipterocarp forest; peatswamp forest; lowland rainforests
